year,city,country,avg_temp
1849,Los Angeles,United States,15.71
1850,Los Angeles,United States,15.28
1851,Los Angeles,United States,15.53
1852,Los Angeles,United States,15.61
1853,Los Angeles,United States,16.27
1854,Los Angeles,United States,15.74
1855,Los Angeles,United States,15.94
1856,Los Angeles,United States,15.52
1857,Los Angeles,United States,16.19
1858,Los Angeles,United States,15.67
1859,Los Angeles,United States,15.29
1860,Los Angeles,United States,15.41
1861,Los Angeles,United States,16.51
1862,Los Angeles,United States,16.05
1863,Los Angeles,United States,15.88
1864,Los Angeles,United States,16.62
1865,Los Angeles,United States,15.89
1866,Los Angeles,United States,16.33
1867,Los Angeles,United States,16.51
1868,Los Angeles,United States,16.09
1869,Los Angeles,United States,16.05
1870,Los Angeles,United States,15.64
1871,Los Angeles,United States,15.89
1872,Los Angeles,United States,15.66
1873,Los Angeles,United States,15.70
1874,Los Angeles,United States,15.33
1875,Los Angeles,United States,16.19
1876,Los Angeles,United States,15.70
1877,Los Angeles,United States,16.24
1878,Los Angeles,United States,15.44
1879,Los Angeles,United States,15.55
1880,Los Angeles,United States,14.36
1881,Los Angeles,United States,15.65
1882,Los Angeles,United States,14.85
1883,Los Angeles,United States,15.52
1884,Los Angeles,United States,15.28
1885,Los Angeles,United States,16.44
1886,Los Angeles,United States,15.74
1887,Los Angeles,United States,15.62
1888,Los Angeles,United States,15.91
1889,Los Angeles,United States,16.22
1890,Los Angeles,United States,15.80
1891,Los Angeles,United States,15.63
1892,Los Angeles,United States,15.33
1893,Los Angeles,United States,14.95
1894,Los Angeles,United States,14.83
1895,Los Angeles,United States,15.36
1896,Los Angeles,United States,16.10
1897,Los Angeles,United States,15.32
1898,Los Angeles,United States,15.65
1899,Los Angeles,United States,15.59
1900,Los Angeles,United States,16.08
1901,Los Angeles,United States,15.72
1902,Los Angeles,United States,15.08
1903,Los Angeles,United States,15.49
1904,Los Angeles,United States,16.24
1905,Los Angeles,United States,15.52
1906,Los Angeles,United States,15.74
1907,Los Angeles,United States,15.46
1908,Los Angeles,United States,15.17
1909,Los Angeles,United States,15.01
1910,Los Angeles,United States,15.94
1911,Los Angeles,United States,14.82
1912,Los Angeles,United States,14.84
1913,Los Angeles,United States,15.20
1914,Los Angeles,United States,15.65
1915,Los Angeles,United States,15.43
1916,Los Angeles,United States,14.60
1917,Los Angeles,United States,15.59
1918,Los Angeles,United States,15.65
1919,Los Angeles,United States,15.34
1920,Los Angeles,United States,15.06
1921,Los Angeles,United States,15.76
1922,Los Angeles,United States,15.31
1923,Los Angeles,United States,15.39
1924,Los Angeles,United States,15.69
1925,Los Angeles,United States,15.72
1926,Los Angeles,United States,16.60
1927,Los Angeles,United States,15.41
1928,Los Angeles,United States,15.98
1929,Los Angeles,United States,16.10
1930,Los Angeles,United States,15.99
1931,Los Angeles,United States,16.60
1932,Los Angeles,United States,15.40
1933,Los Angeles,United States,15.40
1934,Los Angeles,United States,17.03
1935,Los Angeles,United States,15.50
1936,Los Angeles,United States,16.60
1937,Los Angeles,United States,15.68
1938,Los Angeles,United States,15.89
1939,Los Angeles,United States,16.30
1940,Los Angeles,United States,16.53
1941,Los Angeles,United States,15.62
1942,Los Angeles,United States,15.77
1943,Los Angeles,United States,16.12
1944,Los Angeles,United States,15.03
1945,Los Angeles,United States,15.70
1946,Los Angeles,United States,15.65
1947,Los Angeles,United States,15.98
1948,Los Angeles,United States,15.09
1949,Los Angeles,United States,15.36
1950,Los Angeles,United States,16.20
1951,Los Angeles,United States,15.76
1952,Los Angeles,United States,15.33
1953,Los Angeles,United States,15.68
1954,Los Angeles,United States,16.05
1955,Los Angeles,United States,15.34
1956,Los Angeles,United States,15.70
1957,Los Angeles,United States,15.80
1958,Los Angeles,United States,16.70
1959,Los Angeles,United States,17.05
1960,Los Angeles,United States,16.31
1961,Los Angeles,United States,16.21
1962,Los Angeles,United States,15.62
1963,Los Angeles,United States,15.73
1964,Los Angeles,United States,15.28
1965,Los Angeles,United States,15.34
1966,Los Angeles,United States,15.99
1967,Los Angeles,United States,15.92
1968,Los Angeles,United States,15.89
1969,Los Angeles,United States,15.79
1970,Los Angeles,United States,16.00
1971,Los Angeles,United States,15.26
1972,Los Angeles,United States,15.96
1973,Los Angeles,United States,15.51
1974,Los Angeles,United States,15.85
1975,Los Angeles,United States,15.12
1976,Los Angeles,United States,16.18
1977,Los Angeles,United States,16.26
1978,Los Angeles,United States,16.01
1979,Los Angeles,United States,15.88
1980,Los Angeles,United States,16.23
1981,Los Angeles,United States,16.89
1982,Los Angeles,United States,15.44
1983,Los Angeles,United States,16.20
1984,Los Angeles,United States,16.76
1985,Los Angeles,United States,15.96
1986,Los Angeles,United States,16.50
1987,Los Angeles,United States,16.09
1988,Los Angeles,United States,16.44
1989,Los Angeles,United States,16.36
1990,Los Angeles,United States,16.37
1991,Los Angeles,United States,16.00
1992,Los Angeles,United States,16.79
1993,Los Angeles,United States,16.36
1994,Los Angeles,United States,16.29
1995,Los Angeles,United States,16.64
1996,Los Angeles,United States,17.08
1997,Los Angeles,United States,16.93
1998,Los Angeles,United States,15.37
1999,Los Angeles,United States,16.12
2000,Los Angeles,United States,16.64
2001,Los Angeles,United States,16.47
2002,Los Angeles,United States,16.43
2003,Los Angeles,United States,16.94
2004,Los Angeles,United States,16.55
2005,Los Angeles,United States,16.43
2006,Los Angeles,United States,16.62
2007,Los Angeles,United States,16.70
2008,Los Angeles,United States,17.01
2009,Los Angeles,United States,16.68
2010,Los Angeles,United States,15.89
2011,Los Angeles,United States,15.87
2012,Los Angeles,United States,17.09
2013,Los Angeles,United States,18.12
